PUBLICATION_ID,MCZBASE.GET_PUBLICATION_AUTHORS_ALL(P.PUBLICATION_ID),PUBLISHED_YEAR,PUBLICATION_TITLE,JOURNAL_NAME,JOURNAL_ABBREVIATION,VOLUME_NUMBER,ISSUE_NUMBER,BEGINS_PAGE_NUMBER,ENDS_PAGE_NUMBER,PUBLISHER_NAME, 
2037,"Lambert, A.E. and C.H. Hitchcock",1905,"A Trilobite (Dalmanites lunatus) from Littleton, N.H., with notes on other fossils from the same locality","A Trilobite (Dalmanites lunatus) from Littleton, N.H., with notes on other fossils from the same locality.","A Trilobite (Dalmanites lunatus) from Littleton, ",,,36,37,, 
4769,"Pojeta, J. and Runnegar, B.",1976,no article title available,U.S. Geol.Survey Prof.Paper 968,U.S. Geol.Survey Prof.Paper 968,,,76,77,, 
2818,"Okulitch, V.J.",1935,Cyathospongia—A new class of Porifera to include Archaeocyathinae,Royal Soc.Canada Trans. 3rd ser.,Royal Soc.Canada Trans. 3rd ser.,29,,101,,, 
4863,"Walcott, C.D.",1889,no article title available,U.S.Natl.Mus.Proc.,U.S.Natl.Mus.Proc.,12,775,365,,, 
4865,"Miller, S.A.",1874,no article title available,Cincinnati Quart.Jour.Sci.,Cincinnati Quart.Jour.Sci.,1,4,347,,, 
3358,"Ulrich, E.O. and Scofield, W.H.",1897,no article title available,Minnesota Geol.Nat.Hist.Survey Final Report,Minnesota Geol.Nat.Hist.Survey Final Report,3,,823,,, 
6049,"Wills, L.",1964,no article title available,"Palaeontology,","Palaeontology,",7,,476,9,, 
2331,"Whittington, H.B.",1968,"The Ordovician Trilobites of the Bala Area, Merioneth","Paleontographical Soc.London Mono. Part IV,","Paleontographical Soc.London Mono. Part IV,",122,520,104,,, 
2352,"Bruton, D.L.",1968,no article title available,Skrifter Utgitt av Det Norske Videnskaps-Akademi I Oslo. I Mat.-Naturv. Klasse. Ny Serie. No. 25,Skrifter Utgitt av Det Norske Videnskaps-Akademi ,,,38,42,, 
1740,"Ristedt, H.",1971,no article title available,"Palaeontographica Abt. A,","Palaeontographica Abt. A,",137,,189,,, 
867,"Walcott, C.D.",1883,no article title available,Albany Inst.Trans.,Albany Inst.Trans.,10,,20,,, 
3557,"Clark, T.H.",1923,no article title available,Canadian Field Naturalist,Canadian Field Naturalist,37,7,121,122,, 
3631,"Scudder, S. H.",1884,no article title available,Boston Soc.Nat.Hist.Mem.,Boston Soc.Nat.Hist.Mem.,3,9,283,,, 
1067,"Kammer, T.W. and Gahn, F.J.",2003,no article title available,Jour. Paleontology,Jour. Paleontology,1,1,131,,, 
1721,"Rich, M.",1966,no article title available,"J. of Paleontology,","J. of Paleontology,",40,6,1381,1384,, 
1242,"Hyatt, A.",1894,no article title available,Am.Philos.Soc.Proc.,Am.Philos.Soc.Proc.,32,143,475,,, 
1426,"Saemann, L.",1853,no article title available,"Palaeontographica,v.III","Palaeontographica,v.III",,,166,,, 
4091,"Pojeta, J and Runnegar, B.",1974,no article title available,Am.Scientist,Am.Scientist,62,6,709,,, 
5663,"Hall, J.",1871,Description of new species of Crinoidea and other fossils from strata of the age of the Hudson-River Group and Trenton limestone,Advance copy of 24th Rept.on State Cab.Nat.History,Advance copy of 24th Rept.on State Cab.Nat.Histor,,,3,,, 
1449,"Whiteley, T.E.",1997,no article title available,American Paleontologist,American Paleontologist,5,2,,,, 
5685,"Bell, B.M.",1976,no article title available,New York State Mus.and Sci.Service Mem.21,New York State Mus.and Sci.Service Mem.21,,,116,,, 
9131,"Mutvei, H.",1964,no article title available,Arkiv for Zoologi,Arkiv for Zoologi,,,398,,, 
6343,"Flower, R.H.",1942,no article title available,"Jour.Paleontology,","Jour.Paleontology,",27,105,19,,, 
6404,"Whittington, H.B.",1961,A natural history of trilobites,Smithsonian Inst.Ann.Rept. 1961,Smithsonian Inst.Ann.Rept. 1961,,,409,,, 
7645,"Resser, C.E.",1937,no article title available,Jour.Paleontology,Jour.Paleontology,11,1,52,53,, 
8595,"Rogers, W.B.",1854,no article title available,Boston Soc.Nat.Hist.Proc.,Boston Soc.Nat.Hist.Proc.,5,,14,18,, 
9439,"Budil, P., Horbinger,F. and R. Mencl",2009,no article title available,"EARTH ENV. SCI. TRANS. ROYAL SOC. EDINBURGH,","EARTH ENV. SCI. TRANS. ROYAL SOC. EDINBURGH,",99,,76,,, 
6748,"Miller, A.K., Dunbar, C.O. and Condra, G.E.",1933,"The nautiloid cephalopods of the Pennsylvanian system in the Midcontinent
region","Nebraska Geol. Surv. Bull. ser. 2,","Nebraska Geol. Surv. Bull. ser. 2,",,,195,,, 
7089,"Macurda, D.B.",1966,no article title available,Jour.Paleontology,Jour.Paleontology,40,1,103,18,, 
7714,"Johnson, C.W.",1910,no article title available,Nautilus,Nautilus,24,1,11,12,, 
7758,"Raymond, P.E.",1921,no article title available,Boston Soc.Nat.Hist.Proc.,Boston Soc.Nat.Hist.Proc.,36,36,168,,, 
8747,"Bohaty,J.",2009,no article title available,Jour. Paleontology,Jour. Paleontology,83,1,49,,, 
5336,"Jackson, R.T. and T.A. Jaggar",1896,Studies of <i>Melonites multiporus</i>,Geol.Soc.Amer.Bull.,Geol.Soc.Amer.Bull.,7,,137,,, 
2039,"Moore, R.C.",1957,no article title available,Treatise on Invertebrate Paleontology,Treatise on Invertebrate Paleontology,,,,,, 
2739,"Grabau, A. W.",1900,no article title available,Boston Soc.Nat.Hist. Occasional Papers,Boston Soc.Nat.Hist. Occasional Papers,4,,681,694,, 
4868,"Osgood, R.G.,Jr.",1970,Trace Fossils of the Cincinnati Area,Palaeontographica Americana,Palaeontographica Americana,6,41,296,,, 
4998,"Arnold, B.W., H.L. Clark and H.L. Hawkins",1927,Jamaican fossil Echini. With descriptions of new species of Cainozoic Echinoidea.,Harvard Univ.Mus.Comp.Zoology Mem.,Harvard Univ.Mus.Comp.Zoology Mem.,50,1,63,64,, 
5867,"Raymond, P.E. and D.C. Barton",1913,A revision of the American species of <i>Ceraurus</i>,Harvard Univ.Mus.Comp.Zoology Bull.,Harvard Univ.Mus.Comp.Zoology Bull.,54,20,534,535,, 
1423,"Hyatt, A.",1893,no article title available,Geological Survey of Texas (1892),Geological Survey of Texas (1892),,,439,440,, 
4359,"Geinitz, H.B.",1866,no article title available,Carbonformation und Dyas in Nebraska,Carbonformation und Dyas in Nebraska,,,64,,, 
4404,"Kummel, B.",1966,"The lower Triassic formations of the Salt Range and Trans-Indus Ranges, West Pakistan","Bull. of the MCZ,","Bull. of the MCZ,",134,10,393,394,, 
3954,"Hyatt, A.",1889,Genesis of the Arietidae.,"Memoirs of the MCZ,","Memoirs of the MCZ,",16,3,65,66,, 
4463,"Whittington, H.B.",1940,no article title available,Am.Jour.Sci.,Am.Jour.Sci.,238,4,247,,, 
